Entity,Code,Year,Cumulative Individuals
Russia,RUS,1961,2
Russia,RUS,1962,4
Russia,RUS,1963,6
Russia,RUS,1964,9
Russia,RUS,1965,11
Russia,RUS,1966,11
Russia,RUS,1967,11
Russia,RUS,1968,12
Russia,RUS,1969,21
Russia,RUS,1970,22
Russia,RUS,1971,25
Russia,RUS,1972,25
Russia,RUS,1973,29
Russia,RUS,1974,32
Russia,RUS,1975,34
Russia,RUS,1976,38
Russia,RUS,1977,42
Russia,RUS,1978,44
Russia,RUS,1979,45
Russia,RUS,1980,49
Russia,RUS,1981,50
Russia,RUS,1982,53
Russia,RUS,1983,55
Russia,RUS,1984,58
Russia,RUS,1985,60
Russia,RUS,1986,60
Russia,RUS,1987,64
Russia,RUS,1988,67
Russia,RUS,1989,67
Russia,RUS,1990,70
Russia,RUS,1991,72
Russia,RUS,1992,74
Russia,RUS,1993,76
Russia,RUS,1994,79
Russia,RUS,1995,82
Russia,RUS,1996,84
Russia,RUS,1997,86
Russia,RUS,1998,89
Russia,RUS,1999,90
Russia,RUS,2000,92
Russia,RUS,2001,95
Russia,RUS,2002,97
Russia,RUS,2003,97
Russia,RUS,2004,98
Russia,RUS,2005,98
Russia,RUS,2006,98
Russia,RUS,2007,99
Russia,RUS,2008,101
Russia,RUS,2009,103
Russia,RUS,2010,107
Russia,RUS,2011,111
Russia,RUS,2012,114
Russia,RUS,2013,116
Russia,RUS,2014,118
Russia,RUS,2015,118
Russia,RUS,2016,120
Russia,RUS,2017,120
Russia,RUS,2018,121
Russia,RUS,2019,121
Russia,RUS,2020,123
United States,USA,1961,2
United States,USA,1962,5
United States,USA,1963,7
United States,USA,1964,7
United States,USA,1965,14
United States,USA,1966,20
United States,USA,1967,20
United States,USA,1968,23
United States,USA,1969,25
United States,USA,1970,27
United States,USA,1971,31
United States,USA,1972,35
United States,USA,1973,42
United States,USA,1974,42
United States,USA,1975,44
United States,USA,1976,44
United States,USA,1977,44
United States,USA,1978,44
United States,USA,1979,44
United States,USA,1980,44
United States,USA,1981,47
United States,USA,1982,52
United States,USA,1983,66
United States,USA,1984,85
United States,USA,1985,117
United States,USA,1986,123
United States,USA,1987,123
United States,USA,1988,125
United States,USA,1989,136
United States,USA,1990,149
United States,USA,1991,167
United States,USA,1992,179
United States,USA,1993,194
United States,USA,1994,204
United States,USA,1995,216
United States,USA,1996,223
United States,USA,1997,232
United States,USA,1998,242
United States,USA,1999,245
United States,USA,2000,249
United States,USA,2001,258
United States,USA,2002,269
United States,USA,2003,272
United States,USA,2004,275
United States,USA,2005,277
United States,USA,2006,286
United States,USA,2007,295
United States,USA,2008,310
United States,USA,2009,329
United States,USA,2010,333
United States,USA,2011,333
United States,USA,2012,333
United States,USA,2013,334
United States,USA,2014,335
United States,USA,2015,336
United States,USA,2016,337
United States,USA,2017,340
United States,USA,2018,342
United States,USA,2019,346
United States,USA,2020,347
World,OWID_WRL,1961,4
World,OWID_WRL,1962,9
World,OWID_WRL,1963,13
World,OWID_WRL,1964,16
World,OWID_WRL,1965,25
World,OWID_WRL,1966,31
World,OWID_WRL,1967,31
World,OWID_WRL,1968,35
World,OWID_WRL,1969,46
World,OWID_WRL,1970,49
World,OWID_WRL,1971,56
World,OWID_WRL,1972,60
World,OWID_WRL,1973,71
World,OWID_WRL,1974,74
World,OWID_WRL,1975,78
World,OWID_WRL,1976,82
World,OWID_WRL,1977,86
World,OWID_WRL,1978,91
World,OWID_WRL,1979,93
World,OWID_WRL,1980,100
World,OWID_WRL,1981,106
World,OWID_WRL,1982,115
World,OWID_WRL,1983,132
World,OWID_WRL,1984,156
World,OWID_WRL,1985,196
World,OWID_WRL,1986,202
World,OWID_WRL,1987,207
World,OWID_WRL,1988,214
World,OWID_WRL,1989,225
World,OWID_WRL,1990,241
World,OWID_WRL,1991,264
World,OWID_WRL,1992,286
World,OWID_WRL,1993,306
World,OWID_WRL,1994,322
World,OWID_WRL,1995,339
World,OWID_WRL,1996,354
World,OWID_WRL,1997,370
World,OWID_WRL,1998,386
World,OWID_WRL,1999,392
World,OWID_WRL,2000,399
World,OWID_WRL,2001,411
World,OWID_WRL,2002,428
World,OWID_WRL,2003,433
World,OWID_WRL,2004,438
World,OWID_WRL,2005,443
World,OWID_WRL,2006,455
World,OWID_WRL,2007,468
World,OWID_WRL,2008,490
World,OWID_WRL,2009,512
World,OWID_WRL,2010,521
World,OWID_WRL,2011,526
World,OWID_WRL,2012,531
World,OWID_WRL,2013,537
World,OWID_WRL,2014,542
World,OWID_WRL,2015,547
World,OWID_WRL,2016,553
World,OWID_WRL,2017,557
World,OWID_WRL,2018,561
World,OWID_WRL,2019,566
World,OWID_WRL,2020,569
